"sample.id","name","Genus","Seqs_pr_taxon","Total_seqs","Prcnt_seqs","Family","Order","Rank","taxonomy_lvl"
"20","Parnassia fimbriata","Parnassia",3806,49733,7.65286630607444,NA,NA,"species",NA
"21","Parnassia fimbriata","Parnassia",1759,28613,6.14755530702827,NA,NA,"species",NA
"22","Parnassia fimbriata","Parnassia",5,32,15.625,NA,NA,"species",NA
"23","Caltha leptosepala","Caltha",525,66778,0.786187067597113,NA,NA,"species",NA
"23","Lithophragma glabrum","Lithophragma",482,66778,0.721794603012968,NA,NA,"species",NA
"24","Caltha leptosepala","Caltha",147,11984,1.22663551401869,NA,NA,"species",NA
"24","Parnassia fimbriata","Parnassia",119,11984,0.992990654205607,NA,NA,"species",NA
"24","Taraxacum campylodes","Taraxacum",85,11984,0.709279038718291,NA,NA,"species",NA
"25","Caltha leptosepala","Caltha",593,54231,1.0934705242389,NA,NA,"species",NA
"25","Parnassia fimbriata","Parnassia",364,54231,0.671202817576663,NA,NA,"species",NA
"26","Caltha leptosepala","Caltha",4126,388389,1.06233698688686,NA,NA,"species",NA
"27","Parnassia fimbriata","Parnassia",713,58087,1.22746914111591,NA,NA,"species",NA
"27","Caltha leptosepala","Caltha",459,58087,0.790194019315854,NA,NA,"species",NA
"28","Caltha leptosepala","Caltha",721,71828,1.00378682407975,NA,NA,"species",NA
"28","Cynoglossum officinale","Cynoglossum",713,71828,0.99264910619814,NA,NA,"species",NA
"28","Salix sp.","Salix",345,71828,0.480314083644261,NA,NA,"species",NA
"29","Salix sp.","Salix",2572,202110,1.27257434070556,NA,NA,"species",NA
"29","Cynoglossum officinale","Cynoglossum",2431,202110,1.20281035079907,NA,NA,"species",NA
"30","Cynoglossum officinale","Cynoglossum",11756,283698,4.14384310076208,NA,NA,"species",NA
"30","Cynoglossum officinale","Cynoglossum",6222,283698,2.19317725186642,NA,NA,"species",NA
"30","Cynoglossum officinale","Cynoglossum",5931,283698,2.09060338810989,NA,NA,"species",NA
"32","Cynoglossum officinale","Cynoglossum",1638,134997,1.21336029689549,NA,NA,"species",NA
"32","Caltha leptosepala","Caltha",1328,134997,0.983725564271799,NA,NA,"species",NA
"32","Salix sp.","Salix",1294,134997,0.958539819403394,NA,NA,"species",NA
"33","Salix sp.","Salix",20,199,10.0502512562814,NA,NA,"species",NA
"35","Caltha leptosepala","Caltha",1498,186141,0.804766279325887,NA,NA,"species",NA
"36","Cynoglossum officinale","Cynoglossum",1239,58361,2.12299309470365,NA,NA,"species",NA
"36","Salix sp.","Salix",1127,58361,1.93108411439146,NA,NA,"species",NA
"38","Nemophila breviflora","Nemophila",1441,142535,1.01097975935735,NA,NA,"species",NA
"38","Cynoglossum officinale","Cynoglossum",748,142535,0.52478338653664,NA,NA,"species",NA
"38","Salix sp.","Salix",662,142535,0.464447328726278,NA,NA,"species",NA
"39","Caltha leptosepala","Caltha",862,97112,0.887634895790428,NA,NA,"species",NA
"41","Cynoglossum officinale","Cynoglossum",20655,470206,4.3927555156676,NA,NA,"species",NA
"41","Cynoglossum officinale","Cynoglossum",13058,470206,2.7770806837854,NA,NA,"species",NA
"41","Cynoglossum officinale","Cynoglossum",10738,470206,2.28367991901422,NA,NA,"species",NA
"41","Lithophragma glabrum","Lithophragma",4938,470206,1.05017800708626,NA,NA,"species",NA
"42","Arenaria lanuginosa","Arenaria",2011,64982,3.09470314856422,NA,NA,"species",NA
"42","Holodiscus dumosus","Holodiscus",1565,64982,2.40835923794282,NA,NA,"species",NA
"42","Sagina saginoides","Sagina",1338,64982,2.05903173186421,NA,NA,"species",NA
"43","Cynoglossum officinale","Cynoglossum",838,116764,0.717686958309068,NA,NA,"species",NA
"45","Salix sp.","Salix",23,96,23.9583333333333,NA,NA,"species",NA
"46","Salix sp.","Salix",697765,866711,80.5072278994959,NA,NA,"species",NA
"46","Cynoglossum officinale","Cynoglossum",3661,866711,0.422401469463293,NA,NA,"species",NA
"46","Cynoglossum officinale","Cynoglossum",2560,866711,0.295369506098342,NA,NA,"species",NA
"49","Lithophragma glabrum","Lithophragma",452,51672,0.874748413067038,NA,NA,"species",NA
"49","Arenaria lanuginosa","Arenaria",432,51672,0.836042731072921,NA,NA,"species",NA
"49","Caltha leptosepala","Caltha",278,51672,0.538008979718223,NA,NA,"species",NA
"51","Lithophragma glabrum","Lithophragma",556,51753,1.07433385504222,NA,NA,"species",NA
"51","Caltha leptosepala","Caltha",413,51753,0.798021370741793,NA,NA,"species",NA
"52","Arenaria lanuginosa","Arenaria",3205,134754,2.37840806209834,NA,NA,"species",NA
"54","Arenaria lanuginosa","Arenaria",2947,47385,6.21926770074918,NA,NA,"species",NA
"54","Holodiscus dumosus","Holodiscus",2652,47385,5.59670781893004,NA,NA,"species",NA
"54","Sagina saginoides","Sagina",2356,47385,4.97203756463016,NA,NA,"species",NA
"54","Minuartia macrantha","Minuartia",1460,47385,3.08114382188456,NA,NA,"species",NA
"55","Cynoglossum officinale","Cynoglossum",15251,464609,3.28254510782185,NA,NA,"species",NA
"55","Cynoglossum officinale","Cynoglossum",9509,464609,2.04666719757904,NA,NA,"species",NA
"56","Nemophila breviflora","Nemophila",1522,242538,0.627530531298188,NA,NA,"species",NA
"65","Cynoglossum officinale","Cynoglossum",3899,130796,2.98097801155999,NA,NA,"species",NA
"65","Salix sp.","Salix",2926,130796,2.23707147007554,NA,NA,"species",NA
"32","Aquilegia sp.","Aquilegia",711,134997,0.526678370630459,NA,NA,"genus",NA
"35","Aquilegia sp.","Aquilegia",1169,186141,0.628018545081417,NA,NA,"genus",NA
"39","Aquilegia sp.","Aquilegia",697,97112,0.717727984183211,NA,NA,"genus",NA
"40","Aquilegia sp.","Aquilegia",355254,711896,49.9025138503377,NA,NA,"genus",NA
"49","Aquilegia sp.","Aquilegia",194,51672,0.375445115342932,NA,NA,"genus",NA
"60","Aquilegia sp.","Aquilegia",2031,209505,0.969427937280733,NA,NA,"genus",NA
"17","Astragalus sp.","Astragalus",1477,484682,0.304735888685778,NA,NA,"genus",NA
"29","Campanula sp.","Campanula",2700,202110,1.33590618969868,NA,NA,"genus",NA
"15","Cirsium sp.","Cirsium",1628,74768,2.17740209715386,NA,NA,"genus",NA
"49","Delphinium sp.","Delphinium",9025,51672,17.4659389998452,NA,NA,"genus",NA
"49","Delphinium sp.","Delphinium",4484,51672,8.67781390308097,NA,NA,"genus",NA
"15","Epilobium sp.","Epilobium",27027,74768,36.1478172480205,NA,NA,"genus",NA
"19","Epilobium sp.","Epilobium",3918,154482,2.5362178117839,NA,NA,"genus",NA
"43","Epilobium sp.","Epilobium",2953,116764,2.52903292110582,NA,NA,"genus",NA
"17","Erigeron sp.","Erigeron",3194,484682,0.658988780272426,NA,NA,"genus",NA
"20","Erigeron sp.","Erigeron",1379,49733,2.77280678824925,NA,NA,"genus",NA
"21","Erigeron sp.","Erigeron",300,28613,1.04847446964666,NA,NA,"genus",NA
"30","Erigeron sp.","Erigeron",7109,283698,2.50583366819646,NA,NA,"genus",NA
"36","Erigeron sp.","Erigeron",1316,58361,2.25493051866829,NA,NA,"genus",NA
"38","Erigeron sp.","Erigeron",567,142535,0.397797032307854,NA,NA,"genus",NA
"41","Erigeron sp.","Erigeron",13861,470206,2.9478568967644,NA,NA,"genus",NA
"43","Erigeron sp.","Erigeron",3765,116764,3.22445274228358,NA,NA,"genus",NA
"44","Erigeron sp.","Erigeron",4119,217810,1.8910977457417,NA,NA,"genus",NA
"45","Erigeron sp.","Erigeron",7,96,7.29166666666667,NA,NA,"genus",NA
"46","Erigeron sp.","Erigeron",3815,866711,0.440169791314521,NA,NA,"genus",NA
"52","Erigeron sp.","Erigeron",2125,134754,1.57694762307612,NA,NA,"genus",NA
"56","Erigeron sp.","Erigeron",1669,242538,0.688139590497159,NA,NA,"genus",NA
"60","Erigeron sp.","Erigeron",1347,209505,0.642944082480132,NA,NA,"genus",NA
"65","Erigeron sp.","Erigeron",3931,130796,3.00544359154714,NA,NA,"genus",NA
"20","Geum sp.","Geum",821,49733,1.65081535399031,NA,NA,"genus",NA
"21","Geum sp.","Geum",298,28613,1.04148463984902,NA,NA,"genus",NA
"14","Hydrophyllum sp.","Hydrophyllum",36631,69233,52.9097395750581,NA,NA,"genus",NA
"17","Hydrophyllum sp.","Hydrophyllum",2951,484682,0.608852814835294,NA,NA,"genus",NA
"18","Hydrophyllum sp.","Hydrophyllum",7405,595570,1.24334670987457,NA,NA,"genus",NA
"19","Hydrophyllum sp.","Hydrophyllum",100294,154482,64.9227741743375,NA,NA,"genus",NA
"20","Hydrophyllum sp.","Hydrophyllum",703,49733,1.41354834817928,NA,NA,"genus",NA
"21","Hydrophyllum sp.","Hydrophyllum",4240,28613,14.8184391710062,NA,NA,"genus",NA
"22","Hydrophyllum sp.","Hydrophyllum",2,32,6.25,NA,NA,"genus",NA
