"site","date","species","caste","sample.id","morphotype","sum"
"Avery.Wash","2015-06-14","bifarius","q",20,"MERTENSIA",1957
"Avery.Wash","2015-06-14","bifarius","q",20,"C",107
"Avery.Wash","2015-06-14","bifarius","q",20,"UNKNOWN",2
"Avery.Wash","2015-06-14","bifarius","q",20,"ASTERACEAE_2",5
"Gothic.Spires","2015-06-14","bifarius","q",21,"C",2421
"Gothic.Spires","2015-06-14","bifarius","q",21,"ASTERACEAE_2",9
"Gothic.Spires","2015-06-14","bifarius","q",21,"MERTENSIA",5
"Gothic.Spires","2015-06-14","bifarius","q",21,"UNKNOWN",4
"NA","2015-06-15","bifarius","q",22,"C",1544
"NA","2015-06-15","bifarius","q",22,"A",194
"NA","2015-06-15","bifarius","q",22,"MERTENSIA",26
"NA","2015-06-15","bifarius","q",22,"UNKNOWN",6
"NA","2015-06-15","bifarius","q",22,"ASTERACEAE_2",1
"Copper.Creek","2015-06-14","californicus","q",23,"C",1280
"Copper.Creek","2015-06-14","californicus","q",23,"UNKNOWN",1
"Copper.Creek","2015-06-14","californicus","q",23,"A",1
"Copper.Creek","2015-06-14","californicus","q",23,"MERTENSIA",2
"Copper.Creek","2015-06-12","californicus","q",24,"C",2979
"Copper.Creek","2015-06-12","californicus","q",24,"ASTERACEAE_2",3
"Copper.Creek","2015-06-12","californicus","q",24,"A",1
"Copper.Creek","2015-06-12","californicus","q",24,"MERTENSIA",2
"Copper.Creek","2015-06-12","californicus","q",25,"C",2225
"Copper.Creek","2015-06-12","californicus","q",25,"ASTERACEAE_2",15
"Copper.Creek","2015-06-14","californicus","q",26,"C",629
"Copper.Creek","2015-06-14","californicus","q",26,"ASTERACEAE_2",14
"Copper.Creek","2015-06-14","californicus","q",26,"MERTENSIA",608
"Copper.Creek","2015-06-14","californicus","q",26,"ERICACEAE",2
"Copper.Creek","2015-06-14","californicus","q",26,"B",1
"Copper.Creek","2015-06-14","californicus","q",26,"UNKNOWN",1
"Copper.Creek","2015-06-14","californicus","q",26,"A",2
"Copper.Creek","2015-06-15","californicus","q",27,"C",1593
"Copper.Creek","2015-06-15","californicus","q",27,"A",14
"Copper.Creek","2015-06-15","californicus","q",27,"UNKNOWN",1
"Copper.Creek","2015-06-15","californicus","q",27,"MERTENSIA",1
"Gothic.Spires","2015-06-04","californicus","q",30,"C",945
"Gothic.Spires","2015-06-04","californicus","q",30,"ONAGRACEAE",1
"Gothic.Spires","2015-06-04","californicus","q",30,"ASTERACEAE_2",1
"Gothic.Spires","2015-06-04","californicus","q",30,"UNKNOWN",1
"Rosy.Hills","2015-07-20","flavifrons","w",31,"A",381
"Rosy.Hills","2015-07-20","flavifrons","w",31,"CONIFER",4
"Rosy.Hills","2015-07-20","flavifrons","w",31,"UNKNOWN",1
"Avery.Wash","2015-06-19","flavifrons","q",32,"C",1263
"Avery.Wash","2015-06-19","flavifrons","q",32,"ASTERACEAE_2",1
"Avery.Wash","2015-06-19","flavifrons","q",32,"UNKNOWN",1
