"Sample","Taxon","Rank","Genus","Family","Order","n"
"26","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",5776
"26","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",5661
"26","Anemone sp.","Genus","Anemone","Ranunculaceae","Ranunculales",3274
"26","Aquilegia sp.","Genus","Aquilegia","Ranunculaceae","Ranunculales",3041
"26","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",3024
"27","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",35559
"27","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",19809
"27","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",10354
"27","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",1186
"27","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",1041
"27","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",1005
"27","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",935
"27","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",490
"27","Anemone sp.","Genus","Anemone","Ranunculaceae","Ranunculales",479
"27","Corydalis caseana","Species","Corydalis","Papaveraceae","Ranunculales",410
"28","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",44001
"28","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",24485
"28","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",13700
"28","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",1277
"28","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",1159
"28","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",1065
"28","Anemone sp.","Genus","Anemone","Ranunculaceae","Ranunculales",532
"28","Parnassia fimbriata","Species","Parnassia","Celastraceae","Celastrales",477
"28","Aquilegia sp.","Genus","Aquilegia","Ranunculaceae","Ranunculales",439
"28","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",437
"29","Agastache urticifolia","Species","Agastache","Lamiaceae","Lamiales",70711
"29","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",48955
"29","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",16633
"29","Sorbus scopulina","Species","Sorbus","Rosaceae","Rosales",16606
