"Sample","Taxon","Rank","Genus","Family","Order","n"
"44","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",3655
"45","Salix sp.","Species","Populus","Salicaceae","Malpighiales",26
"45","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",17
"45","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",8
"45","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",7
"45","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",7
"45","Vicia americana","Species","Vicia","Fabaceae","Fabales",7
"45","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",7
"45","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",5
"45","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",5
"45","Taraxacum campylodes","Species","Taraxacum","Asteraceae","Asterales",5
"46","Salix sp.","Species","Populus","Salicaceae","Malpighiales",761347
"46","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",57500
"46","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",51391
"46","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",24261
"46","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",16727
"46","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",11358
"46","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",10423
"46","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",10247
"46","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",5135
"46","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",4130
"49","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",39458
"49","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",12985
"49","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",5858
"49","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",1309
"49","Epilobium sp.","Genus","Epilobium","Onagraceae","Myrtales",952
"49","Hypericum scouleri","Species","Hypericum","Hypericaceae","Malpighiales",890
"49","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",783
"49","Viola sp.","Genus","Viola","Violaceae","Malpighiales",600
"49","Vicia americana","Species","Vicia","Fabaceae","Fabales",594
"49","Senecio sp.","Genus","Senecio","Asteraceae","Asterales",589
"51","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",31355
"51","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",14324
"51","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",7968
"51","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",1312
